,title,link,dates,type
0,Canada's Bridal Show Winter 2023,https://www.mtccc.com/single-event/canadas-bridal-show-winter-2023/,13 - 15,Public Event
1,The Franchise Expo 2023,https://www.mtccc.com/single-event/the-franchise-expo-2023/,14 - 15,Public Event
2,Interior Design Show 2023,https://www.mtccc.com/single-event/interior-design-show-2023/,19 - 22,Public Event
3,Yu-Gi-Oh! Regional Qualifier,https://www.mtccc.com/single-event/yu-gi-oh-regional-qualifier/,21,Public Event
4,Sugar Sammy 2023 Canadian Tour,https://www.mtccc.com/single-event/sugar-sammy-2023-canadian-tour/,27 - 28,Theatre Only
